id_situation,id_dpt,id_region,,,,,,,,,67
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,90
,,,,,,,,,,,90
,,,,,,,,,,,90
,,,,,,,,,,,90
,,,,,,,,,,,971
,,,,,,,,,,,971
,,,,,,,,,,,971
,,,,,,,,,,,971
,,,,,,,,,,,971
,,,,,,,,,,,973
,,,,,,,,,,,973
,,,,,,,,,,,973
,,,,,,,,,,,91
,,,,,,,,,,,91
,,,,,,,,,,,91
,,,,,,,,,,,91
,,,,,,,,,,,91
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
